id,checked,notes,slug,tecservices_id,organization_name,organization_type,full_address,address,city,state,zip_code,org_phone,hours,website,appointment,internet,wifi,training,pc_use_restrictions,hardware_public,assistive_technology,internet_upload,internet_download,volunteers_used,volunteers_used_how,volunteers_wanted_how,public_wifi_detail,nearest_parking,nearest_parking_detail,public_transportation_detail,time_allowed_per_user,time_allowed_per_user_detail,room_list,handicap_access_detail,friendly_description,agency_leadership_contact,agency_staff_person_contact_email,twitter_handle,training_types,flickr_tag,training_headline,training_description,training_url,october_open_house,location_leadership,location_leadership_email,pcc_staff_person,pcc_staff_person_email,latitude,longitude
1,Yes,not found on Lumity site; Lumity no longer involved,the-family-net-center-at-kennedy-king-college-747-w-63rd-st-bldg-v-room-106,,The Family Net Center at Kennedy King College,Community Technology Center,"747 W. 63rd St., Bldg. V, Room 106 Chicago, IL 60621","747 W. 63rd St., Bldg. V, Room 106",Chicago,IL,60621,(773) 487-3723,M-F: 9AM - 6PM; SA: 10AM - 2PM (Open 1st and 3rd Sat of each month),http://www.smartcommunitieschicago.org/About-Us5/Our-Partners/Englewood.html,1,1,0,1,,,,,,,,,,,,CTA Halstead - Green line (2 min walk),,,,,This is a FamilyNet Center run by the Smart Communities program,,,,,pcc-63rd-street-corridor-1,,,,,"Rosalind Moore, Teamwork Englewood",rmoore@teamworkenglewood.org,Clarence Hogan,hoganc@metrofamily.org,41.7796653,-87.6443322
2,yes,not a lumity site Ida. M. Brown   akamforbrown@me.com listed as director,a-knock-at-midnight-400-w-76th-street-ste-206,,A Knock At Midnight,Community Technology Center,"400 W. 76th Street, Ste. 206 Chicago, IL 60620","400 W. 76th Street, Ste. 206",Chicago,IL,60620,(773) 488-2960,M-F: 10AM-5PM,http://www.akamworks.org/infopage/computer-literacy,1,1,1,1,,,,,,,,,,,,CTA 79th - Red line (17 min walk),,,,,,Minister Johnny Banks,akambanks@msn.com,http://twitter.com/akamworks,,pcc-a-knock-at-2,Computer Literacy,"AKAM’s basic computer literacy trainings encompass an introduction to Windows and basic PC operation, the fundamentals of word processing using Microsoft Word, an introduction to spread sheets using Microsoft Excel, the fundamentals of desktop presentations using Microsoft PowerPoint, navigating the internet, and E-mail fundamentals.  

Participants are introduced to using computers with digital cameras, video camcorders, and LCD projectors to present presentations and create multi-media projects.       

Goals:

*  Increase and improve basic computer literacy skills and/or improve emplyability.
*  Enhance self-improvement efforts through the acquisition of new knowledge, skills, and abilities. 
*  Increase awareness and understanding of the role of technology in today's society.
*  Increase knowledge and understanding of the people, places, and events throughout the world.
*  Generate increased interest in pursuing job training and work-related readiness skills.",,,Johnny Banks,akambanks@msn.com,,,41.7563478,-87.635009
3,yes,,abbott-park-senior-satellite-center-49-e-95th-st,1094,Abbott Park Senior Satellite Center,Senior Center,"49 E. 95th St Chicago, IL 60619",49 E. 95th St,Chicago,IL,60619,312-745-3493,M-F: 8AM-4PM,http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html,1,1,0,1,Users must be 55 and older.,6,not purchased yet,1.5 Mbps,up to 6 Mbps,yes,general senior center assistance,,not activated yet,Free,,CTA 95th - Red line (4 min walk),Varies by availability,4 hour labs,,,"Chicago Department of Family and Support Services (CDFSS) Regional
and Satellite Senior Centers offer public computer access and digital literacy training. The centers are community focal points where older adults come
together for services and activities that reflect their experience and skills,
respond to their diverse needs and interests, enhance their dignity, supports
their independence, and encourage their involvement in and with the center and
the community.",John Mikols,John.Mikols@cityofchicago.org,,,pcc-abbott-park-senior-3,,,,,Margretta Thrift-Rhodes,,,,41.7215401,-87.6221453
4,yes,opens Q1 2013,trumbull-park-homes-10524-s-oglesby,1159,Trumbull Park Homes,Chicago Housing Authority,"10524 S Oglesby Chicago, IL 60617",10524 S Oglesby,Chicago,IL,60617,,,,2,2,2,1,,,,,,,,,,,,Bus stop on 103rd Street & Oglesby ( 3 min walk),,,,,Lab under construction. Will open Q1 2013,"Shannon Jackson, Kristen Hamer","sjackson@thecha.org, khamer@thecha.org",,,pcc-trumbull-homes-lab-4,,,,,,,,,41.704206,-87.5657436
6,"yes, but closed",This library will close as of 9/22 for construction,albany-park-library-5150-n-kimball-avenue,1014,Albany Park Library,Chicago Public Library,"5150 N. Kimball Avenue Chicago, IL 60625",5150 N. Kimball Avenue,Chicago,IL,60625,,Closed,http://www.chipublib.org/branch/details/library/albany-park/,0,1,1,1,,,,,,,,,,,,Bus stop on Kimball & Foster,,,,,"This branch is currently closed for renovation until further notice. The closest computer center is the Albany Park Community Center at 5121 N. Kimball. This library participates in the CyberNavigator program and has computers available for public use. This location will be closed to the public as of Saturday, September 22, 2012 at 5:00 p.m. while improvements are made.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-albany-park-6,,,,,,,,,41.9755882,-87.7137735
7,yes,Lumity forwarded updated information 11/6,albany-park-community-center-5121-n-kimball,1126,Albany Park Community Center,Community Technology Center,"5121 N. Kimball Chicago, IL 60625",5121 N. Kimball,Chicago,IL,60625,773.433.3743,M-F: 10AM-4:30PM,http://www.apcc-chgo.org/programs/adult/ctc,0,1,0,1,DO NOT change any settings or download any programs onto the computers. PLEASE do not try to fix it yourself. See a staff member. Use computers for job search only. If not job related it is not allowed. Use ONLY the programs available on the system. Use of USBs is not allowed,7,,2.84 Mbps,2.19 Mbps,yes,"Assist customers in online job search, applying for jobs online and resume reviews and updates.",As above.,,Paid,"Street, in front, 5-7 spaces, $1.75hr","CTA, in front of building entrance.",Timed,1 hour unless its not busy.,,"Elevators and wide hallways, no push button entrance. All desks are handicap accessible.","An important component of the neighborhood and APCC Adult Education program is the CTC. People of all ages and abilities can learn about computers, use the Internet, further their education, or develop work skills. APCCs Community Technology Center (CTC), part of our Adult Education Department, fulfills that mission by providing access to and education about technology to adults. Open access hours for the CTC are available to all Adult Education Department students and the community at-large who want to further practice their computing skills, job search skills, and/or further educational goals.  The CTC also offers individualized assistance by our trained staff and volunteers during open access hours.  We help with a variety of computing needs.  We have helped open lab visitors to setup email accounts.  We have helped parents help their children with homework and science fair projects.  We have also helped open lab participants to develop resumes and find employment.",,"kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-albany-park-community-7,,"APCCâ€™s Community Technology Center (CTC) offers a broad range of free and low-cost technology services to the Albany Park Community: Computer-assisted education is available for the English as a Second Language, Adult Basic Education, GED preparation, and citizenship preparation classes.  Students in 18 classes regularly use our APCCâ€™s Community Technology Center (CTC), is the only CTC in Albany Park with 13 workstations and state-of-the-art software. Computer-assisted education builds upon and reinforces what students learn in the classroom, while also providing key computer skills that benefit students in the workplace and other situations.  Trained CTC teachers and assistants are available to orient students (including many who have never before used computers) and assist them to learning through technology.Computer literacy classes for both for Introduction to Computing and the Internet, Microsoft Word, and Microsoft Excel classes are offered on weekend days, to accommodate the busy schedules of working adults. More than 120 students per year acquire important technological skills through this program.  Students report greater ability to find work and advancement on the job as a result of participating in computer literacy education classes.  Bilingual computer literacy courses: Weekend Bilingual English/Spanish - Introduction to Computing and the Internet, Microsoft Word and Microsoft Excel classes",,,,,Michael Matos,mmatos@apcc-chgo.org,41.974453,-87.7133089
10,yes,not found on Lumity site,alternatives-inc-4730-n-sheridan-road,,"Alternatives, Inc.",Community Technology Center,"4730 N. Sheridan Road Chicago, IL 60640",4730 N. Sheridan Road,Chicago,IL,60640,(773) 506-7474,M-F: 4PM-7PM; SA: 12PM- 4PM,http://www.alternativesyouth.org,0,1,0,1,,,,,,,,,,,,CTA Lawrence - Red line (5 min walk),,,,,"The Chicago Workforce Centers provide employment services under the Workforce Investment Act, including access to resource centers and workshops that assist with developing employment related skills. Resource centers are free to the public for conducting job search activities. these centers are equipped with computers, fax machines, printers and telephones to assist job seekers in conducting job searches, researching labor market information or improving job skills. Workshops are also held at the Workforce Centers on a variety of of employment related topics. The Workforce Centers vary in terms of offerings, so for specific information, please contact the workforce center and find out what services are available and when orientation sessions are conducted.",,"kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-alternatives-inc-10,,,,,Judy Gall,info@alternativesyouth.org,,,41.9681969,-87.6549881
11,yes,missing specific locations of computer labs within library,altgeld-library-13281-s-corliss-avenue,,Altgeld Library,Chicago Public Library,"13281 S. Corliss Avenue Chicago, IL 60827",13281 S. Corliss Avenue,Chicago,IL,60827,(312) 747-3270,"M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/altgeld/,0,1,1,0,,,,,,,,,,,,Bus stop on 133rd Place & Corliss,,,,,The Altgeld Branch is located in the Altgeld Garden-Phillip Murray Homes housing community. The branch shares a building with Carver Elementary/Phillis Wheatley Child Parent Center. This library participates in the CyberNavigator program and has computers available for public use.,Ulo Ormiste,uormiste@chipublib.org,,,pcc-altgeld-11,CyberNavigators are available at this library to lead computer training classes and answer technology questions.,"CyberNavigators offer both small group classes and one-on-one sessions at 45 library locations throughout the city. One-on-one sessions are by appointment only and may last up to one hour.
Learn about:
Computer basics 
Email basics 
Internet basics 
Online job searching and resume writing 
Online research methods 
How to use the Chicago Public Library website, including checking account information and renewing materials 

To view available courses at your branch, visit http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php",http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php,,,,,,41.6547248,-87.6022434
13,yes,,altgeld-gardens-and-phillip-murray-homes-951-e-132nd-place,1157,Altgeld Gardens and Phillip Murray Homes,Chicago Housing Authority,"951 E. 132nd Place Chicago, IL 60627",951 E. 132nd Place,Chicago,IL,60627,773-928-4116,M-F: 8AM-5PM,http://www.thecha.org/pages/altgeld_gardens_and_phillip_murray_homes/50.php?devID=254,2,1,2,1,No Food or drinks in the lab. No social media sites or games allowed. Children must be accompanied by an adult.,36,,3.85 Mbps,39.88 Mbps,no,,,,Free,Parking lot is out front and available,Bus stop on Ellis & 131st Street,unlimited,,,"There are handicap computers in the lab and a ram however, the outside doors are not handicap accessible.","Altgeld Gardens and Phillip Murray Homes is on the border of Chicago and Riverdale, bounded by 130th and 133rd Streets and St. Lawrence and Doty Avenues. This development has computers available for public use.","Shannon Jackson, Kristen Hamer","sjackson@thecha.org, khamer@thecha.org",,,pcc-altgeld-gardens-phillip-murray-13,Digital Literacy Training,"Chicago Housing Authority, in partnership with TEC Services, provide training in Digital Literacy, Microsoft Office and other topics. TEC Services, Inc. offers organized group classes taught by qualified trainers.",,,,,,,41.6589714,-87.5965854
14,yes x2,updated per Lumity site,center-of-higher-development---archer-courts-2242-south-princeton,,Center of Higher Development - Archer Courts,Community Technology Center,"2242 South Princeton Chicago, IL 60616",2242 South Princeton,Chicago,IL,60616,(888) 317-5480,"T, TH: 11AM-5PM",http://www.ctcconnect.org/Center-of-Higher-Development-Archer-Courts,0,1,0,1,,,,,,,,,,,,CTA Cermak-Chinatown - Red Line (5 min walk) & bus stops within walking distance,,,,,The center of higher development is a Computer Technology Center which is designed to serve the direct needs of the community through improving its participants technology skills.,"Kara Kennedy, Jonathon Carter","kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-archer-courts-ctc-14,This location offers training in a variety of digital skills.,"Type of training offered:
Basic Digital Literacy, Photo Illustration; Video Production; MS Office Suite; Social Media (Facebook, Twitter, LinkedIn)",,,"Walter Gillespie, Executive Director",walt@cohd.com,,,41.85111,-87.636105
